,id,origin_time,latitude,longitude,depth,magnitude,counts,catalog_id,region_id,mag_id
0,b'ci3351457',-315450494080,35.5563333,-121.351,6.0,4.04,1,,2366,0
1,b'ci3351652',-312736962160,32.0766667,-116.043,6.0,4.64,1,,6485,6
2,b'ci3350784',-305943640350,32.7091667,-115.7263333,6.0,4.24,1,,6658,2
3,b'ci3350682',-304082599460,32.4656667,-115.7761667,6.0,4.0,1,,6655,0
4,b'ci12277819',-302503343740,32.0715,-116.2186667,6.0,4.0,1,,6370,0
5,b'ushis2443',-302112773000,37.517,-118.733,16.0,4.91,1,,4820,9
6,b'iscgem879414',-302049726580,40.729,-124.792,15.0,6.0,1,,186,20
7,b'ci3350758',-301544584570,32.229,-115.733,6.0,4.31,1,,6653,3
8,b'ci3350653',-300081552510,34.1263333,-117.4773333,1.32,4.09,1,,5633,0
9,b'ci3350658',-299814375630,35.1405,-117.0495,6.0,4.44,1,,5907,4
10,b'ci12277823',-298751646580,32.2613333,-115.2946667,6.0,4.0,1,,6915,0
11,b'ci3350674',-297145230330,33.1326667,-116.4793333,6.0,4.31,1,,6264,3
12,b'ci10086558',-295410747260,32.0493333,-116.2248333,6.0,4.0,1,,6370,0
13,b'ci10086566',-293865504130,37.7056667,-118.4123333,6.0,4.0,1,,5010,0
14,b'ci10086590',-285982515660,31.6223333,-116.4166667,6.0,4.0,1,,6249,0
15,b'iscgem881080',-284390671070,41.416,-125.074,20.0,5.9,1,,83,19
16,b'ci3347795',-284091575780,33.1946667,-115.879,6.0,4.0,1,,6607,0
17,b'ci10086618',-281896923510,31.6386667,-116.439,6.0,4.5,1,,6249,5
18,b'ci3347759',-281634433740,35.758,-118.0408333,6.0,5.05,1,,5248,10
19,b'ci10086622',-281231747040,37.7695,-118.198,6.0,5.3,1,,5202,13
20,b'ci10086626',-281231536610,37.4853333,-118.4973333,6.0,5.1,1,,5007,11
21,b'ci12277831',-278908627010,32.1683333,-115.7376667,6.0,4.4,1,,6652,4
22,b'ci3344881',-276620361380,36.7281667,-116.0916667,6.0,4.31,1,,6532,3
23,b'iscgem876374',-275502998420,36.732,-121.222,12.0,5.88,1,,2469,18
24,b'ci3344897',-273864580829,33.0948333,-115.998,6.0,4.29,1,,6551,2
25,b'ci3344901',-273519223390,31.6233333,-116.2426667,6.0,4.32,1,,6366,3
26,b'ci3344855',-271249212070,33.7361667,-116.088,6.0,4.25,1,,6502,2
27,b'ci3344861',-271010180410,32.0223333,-116.2625,6.0,4.09,1,,6370,0
28,b'ci3344865',-270164555040,32.0825,-115.8148333,6.0,4.17,1,,6596,1
29,b'ci3344833',-265765973310,35.8801667,-120.347,6.0,4.64,1,,3305,6
30,b'ci3344767',-264022278390,31.9671667,-116.4525,6.0,4.49,1,,6252,4
31,b'ci3344772',-263781626040,33.068,-116.3155,6.0,4.35,1,,6322,3
32,b'ci3344781',-263775552420,33.0531667,-116.2263333,6.0,4.69,1,,6380,6
33,b'ci3344790',-262940891000,35.2121667,-118.504,6.0,4.07,1,,4922,0
34,b'ci3344797',-261981670790,32.7415,-115.5698333,6.0,4.75,1,,6765,7
35,b'ci12277843',-261981562000,32.5,-115.35,4.1,4.1,1,,6867,1
36,b'ci3344696',-261634219210,33.0088333,-116.2451667,6.0,4.39,1,,6380,3
37,b'ci3344711',-261341748830,33.0748333,-116.2195,6.0,4.28,1,,6380,2
38,b'ci3344712',-261321838530,31.9883333,-116.2955,6.0,4.16,1,,6369,1
39,b'ci3344750',-260141909110,33.853,-117.7536667,0.59,4.4,1,,5430,4
40,b'ci3344648',-258835815480,35.8643333,-117.7946667,6.29,5.13,1,,5450,11
41,b'ci3344656',-258696609820,33.671,-117.984,0.62,4.58,1,,5294,5
42,b'ci3344658',-258695566120,33.6661667,-117.9805,0.01,4.12,1,,5294,1
43,b'ci3344660',-258689839750,33.673,-117.9796667,0.35,4.1,1,,5294,1
44,b'ci3344662',-258686666400,33.6713333,-118.0073333,0.04,4.12,1,,5227,1
45,b'ci3344602',-256501264380,34.9463333,-118.9871667,5.45,4.97,1,,4666,9
46,b'ci3344605',-256250484000,35.3901667,-117.7701667,6.0,4.3,1,,5445,3
47,b'ci3344609',-256057584680,33.7275,-117.9711667,6.0,4.1,1,,5295,1
48,b'ci3344466',-249758528510,35.027,-120.9553333,6.0,4.43,1,,2730,4
49,b'ci12277847',-246989762130,34.5556667,-121.4366667,6.0,4.5,1,,2266,5
50,b'ci12277859',-246536353270,34.4926667,-121.378,6.0,4.0,1,,2355,0
51,b'ushis2544',-243591668100,38.222,-119.455,6.0,5.1,1,,4202,11
52,b'ushis2546',-243443937700,36.415,-120.617,21.0,4.7,1,,3026,7
53,b'ushis2547',-242579461800,38.5,-118.1,25.0,4.6,1,,5209,6
54,b'ci3344428',-242405248930,33.8003333,-117.0998333,1.18,4.19,1,,5894,1
55,b'ci10086670',-239840059260,32.2583333,-115.7693333,6.0,5.1,1,,6653,11
56,b'ushis2552',-238918192800,39.116,-123.097,10.0,5.2,1,,1059,12
57,b'ci3331701',-233544437310,32.1553333,-115.8415,6.0,4.34,1,,6597,3
58,b'ci3331710',-232927465050,33.155,-116.0533333,6.0,4.02,1,,6496,0
59,b'iscgem875211',-232173042730,41.838,-124.048,25.0,5.86,1,,508,18
60,b'ushis2570',-231144154000,41.01,-124.21,45.0,4.9,1,,403,9
61,b'ci3331691',-230149423860,35.7593333,-118.0508333,6.0,4.95,1,,5248,9
62,b'ci3331642',-228472257260,33.3473333,-116.2511667,6.0,4.17,1,,6383,1
63,b'ci3331651',-227772628460,36.4273333,-120.8488333,6.0,4.06,1,,2838,0
64,b'ci3331521',-226444626290,34.349,-116.8663333,6.0,4.97,1,,6028,9
65,b'ci3331548',-225720162860,37.6356667,-118.3541667,6.0,4.08,1,,5072,0
66,b'ci3331496',-223603734190,34.3288333,-116.9375,6.0,4.33,1,,5964,3
67,b'ci3331497',-223601051160,34.3413333,-116.8998333,6.0,4.4,1,,6028,4
68,b'ci3331510',-223514300980,34.301,-116.8858333,6.0,4.44,1,,6028,4
69,b'ci3331464',-220211756610,34.939,-119.1365,5.84,4.08,1,,4466,0
70,b'ci3331469',-219878420910,33.0028333,-116.207,6.0,4.28,1,,6380,2
71,b'ci3331412',-215825642070,34.9563333,-118.971,8.38,4.64,1,,4666,6
72,b'ci3332155',-213719476060,35.9615,-114.8613333,6.0,4.82,1,,7145,8
73,b'ci3331358',-210375915410,37.7061667,-118.7725,6.0,4.19,1,,4822,1
74,b'ci3331347',-208632205920,32.9951667,-115.642,6.0,4.24,1,,6714,2
75,b'ci3331314',-208623234730,33.0183333,-115.5765,6.0,4.51,1,,6768,5
76,b'ci3331316',-208598818160,33.0056667,-115.6451667,6.0,4.68,1,,6715,6
77,b'ci3331349',-206958978330,31.9726667,-116.2516667,6.0,5.6,1,,6369,16
78,b'ci3331351',-206847885800,31.6503333,-116.2078333,6.0,4.67,1,,6366,6
79,b'ci3331352',-206847845860,31.65,-116.25,6.0,4.51,1,,6366,5
80,b'ci3331301',-203638481390,31.9216667,-116.3971667,6.0,4.02,1,,6311,0
81,b'ci3331237',-202757103150,34.1613333,-116.189,6.0,4.64,1,,6449,6
82,b'ci3331259',-200777163810,34.1448333,-116.192,6.0,4.15,1,,6449,1
83,b'ci3331230',-200545935970,31.9078333,-116.2431667,6.0,4.08,1,,6369,0
84,b'ci3331203',-200356741980,31.8091667,-116.2015,6.0,4.08,1,,6368,0
85,b'ci3331219',-198792523230,33.5623333,-118.3285,6.0,4.7,1,,5031,7
86,b'ushis2622',-198735223000,36.89,-121.597,3.0,5.4,1,,2200,14
87,b'ushis2623',-198732708800,36.925,-121.618,6.0,4.3,1,,2113,3
88,b'ci10086718',-198613424000,35.75,-118.05,6.0,4.9,1,,5248,9
89,b'ci3331170',-197975887210,33.7036667,-116.9381667,10.66,5.29,1,,5958,12
90,b'ci10086722',-195647427360,31.6846667,-115.387,6.0,5.0,1,,6858,10
