Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
1971,8,21,3,59,4,39.6667,12.8167,488,4.16
2014,8,27,16,59,3.89,39.5493,15.8482,273.8,3.88
2020,12,17,15,59,22.5,45.4738,9.1548,55.1,3.91
1999,11,28,0,59,47.7,41.55,19.38,54,4.8
1987,9,9,6,59,48.51,37.8328,15.8068,51.4,3.54
1978,11,16,9,59,47,42.4333,12.9333,41,4.52
1972,6,25,4,59,17,43.9648,15.9927,39,4.29
1988,4,28,15,59,3.33,42.3158,16.6425,38.1,3.63
1998,9,24,3,59,4.73,46.0743,14.6358,34.8,3.56
1964,11,2,22,59,39,44.1667,11.4,33,4.19
1999,9,18,11,59,57.25,38.4668,15.8102,30.1,3.58
2002,7,9,3,59,1.73,44.397,10.6958,29.4,3.7
2019,10,31,6,59,0.14,38.8938,17.5447,27.3,4.27
1986,11,25,13,59,42.1,44.14,16.41,27,5.54
2005,6,30,9,59,6.85,38.61,13.387,24.4,3.61
1974,11,3,22,59,18,44.4,12.2,22,3.84
1998,2,20,0,59,8.42,38.459,15.0937,21.5,3.68
2007,9,28,6,59,23.42,43.225,15.468,20.7,3.66
1976,5,6,19,59,6,46.2667,13.2833,20,4.54
2002,11,2,23,59,10.79,41.7463,14.919,19.8,3.56
2013,9,12,9,59,23.92,38.6343,18.0262,19.5,3.55
2020,8,18,15,59,49.95,39.1518,17.3388,18.9,3.78
1971,6,6,21,59,9,44.6667,6.7,17,4.49
1980,11,25,9,59,32,41.0167,14.9667,17,3.81
2017,12,14,1,59,20.82,36.5133,14.6427,16,3.67
2017,1,21,10,59,28.16,42.4577,13.2857,16,3.61
1990,9,12,2,59,44.87,42.7335,12.6885,14.1,3.93
1977,6,5,13,59,18,37.8833,14.45,14,4.61
1990,3,22,10,59,53.88,37.6633,14.9963,13.8,3.71
1998,6,21,12,59,3.81,38.57,12.7315,13.5,4.63
1997,6,26,22,59,47.12,38.47,17.5215,13.4,3.76
2016,10,30,6,59,45.45,42.8308,13.1903,12.5,3.66
2016,11,1,17,59,13.06,42.804,13.1312,10.5,3.63
2016,10,30,7,59,17.15,42.7867,13.0865,10.3,3.55
2016,10,30,8,59,8.89,42.8832,13.0563,10.3,3.53
2016,8,24,11,59,59.84,42.8332,13.1435,10.2,3.63
2020,7,4,7,59,39.5,35.63,6.31,10,4.33
1993,7,10,8,59,9.84,47.28,10.2263,10,4.28
1986,1,8,0,59,22.96,42.7123,15.4803,10,4.08
2016,10,30,6,59,31.4,42.8812,13.142,10,3.97
2013,12,12,0,59,19.86,47.0163,9.4957,10,3.66
