y,month,d,h,minute,s,lon,lat,depth,mw
1987,4,6,17,35,32.989,177.3919,-33.8905,619.194,3.6921
1998,7,4,7,47,47.344,174.4772,-39.1431,601.528,3.6954
1960,3,23,1,32,21.52,174.76,-39.03,595,4.3538
1960,3,23,1,36,58.49,174.95,-38.96,588,4.261
1991,9,14,14,14,42.751,174.6269,-39.1015,585.2962,3.7912
1961,6,18,13,55,22.66,179.39,-32.41,579,5.541
2004,7,20,6,28,46.041,174.7649,-38.9892,578.4744,3.6866
1953,3,24,3,37,13.16,174.39,-38.82,573,3.9214
2004,3,25,0,22,51.885,174.5584,-38.8246,572.9429,3.5823
2014,12,2,5,20,9.517,173.5419,-39.0046,571.25,4.0364
1994,4,8,4,6,58.074,174.7068,-39.1741,568.9299,3.5568
1988,5,30,8,30,31.025,181.1165,-32.2882,565.8495,3.6875
1988,1,26,6,10,3.334,180.4924,-33.0884,538.9352,3.7006
2015,2,27,13,52,51.801,172.7738,-39.0546,524.375,3.7272
1979,11,8,15,56,45.82,180.08,-32.92,502,6.2
2015,6,3,7,2,13.918,177.3991,-34.2949,482.9344,3.578
1987,1,19,13,31,47.135,181.2053,-32.9585,482.4184,3.5342
2015,6,17,9,0,35.866,179.9798,-33.4736,474.3812,4.5092
2019,5,31,0,32,4.203,181.7432,-32.244,467.1664,3.5546
2001,5,15,5,15,12.352,176.5833,-36.8192,467.06,4.6514
2020,11,29,21,45,25.652,180.0965,-32.2824,466.9496,4.7351
1987,3,3,13,16,18.054,181.5832,-32.6153,460.3513,3.6
1988,5,19,22,15,28.217,180.0609,-32.8925,459.4095,3.6165
2002,6,30,0,47,9.364,176.5217,-36.8875,458.22,3.854
2016,3,17,15,53,32.298,179.3008,-33.803,456.2879,3.6925
1987,3,6,10,16,4.476,181.0925,-32.0501,455.2815,4.6623
1989,2,10,16,21,25.545,176.5119,-37.1699,450.3449,3.5779
1987,1,20,15,17,10.706,178.7064,-32.4837,449.4326,3.6117
1990,7,11,16,11,40.474,176.7268,-37.228,448.969,4.0687
2017,3,6,19,26,5.465,182.0153,-32.437,446.0815,5.6126
1999,8,4,2,27,21.465,176.8028,-37.061,444.844,3.6237
2020,4,7,11,29,6.016,181.1063,-32.071,440.5936,4.7936
2020,11,13,1,14,52.356,179.2895,-32.2951,439.7823,3.6725
1984,12,18,5,49,1.96,176.57,-37.12,438,4.3345
1962,12,12,9,15,7.1,176.82,-37.21,437,3.5312
2009,9,9,10,33,4.532,180.8136,-32.771,436.6458,5.1225
2019,3,30,3,39,19.191,179.776,-32.0772,436.0646,3.702
1995,6,3,20,58,59.187,180.63,-33.2101,432.4891,5.7814
2012,10,22,8,19,58.875,176.6012,-37.123,429.2188,3.6843
1967,3,5,19,12,44.89,176.61,-37.16,428,4.0666
1987,9,8,23,42,15.47,178.6349,-34.5992,427.1677,4.0359
1986,1,10,19,16,39.64,176.68,-37.13,422,3.5597
1993,6,30,20,34,34.012,176.8064,-37.4199,420.7275,4.0707
2016,9,18,22,25,27.325,180.1552,-33.1889,419.0898,3.6508
2017,1,15,12,32,12.617,180.199,-32.6604,418.9884,4.0472
1990,5,20,9,53,46.586,180.4838,-33.0089,417.0962,6.1
2020,10,7,10,37,46.256,179.773,-32.1467,411.2803,3.5336
2003,1,25,0,26,4.572,176.7723,-37.0372,405.66,3.544
2003,2,9,22,14,7.719,176.7215,-36.971,405.03,3.8486
1979,11,12,6,51,36.06,178.78,-35.61,403,3.6019
1993,8,20,13,19,18.328,176.7187,-37.0846,402.1088,3.6356
2019,10,11,15,18,40.914,180.6451,-32.2293,400.8258,4.4198
1943,7,5,19,42,20.02,175.96,-37.31,400,3.6702
2008,11,24,3,35,27.253,176.7573,-37.1302,394.7835,4.2854
2015,10,26,1,38,41.183,179.8972,-32.4619,394.6712,3.7813
1951,3,28,1,55,13.115,176.9771,-37.0558,394.1464,5.3977
2016,4,5,8,17,27.87,176.5144,-37.279,392.5803,3.6439
2015,9,24,17,42,36.179,180.7534,-33.687,390.074,3.9
1942,6,27,1,12,24.11,177.14,-37.4,390,5.2795
2019,12,20,15,24,31.222,180.1117,-32.2184,389.4251,3.5023
2016,6,23,15,18,12.833,179.9624,-32.0116,388.0935,4.1649
1988,9,3,18,11,50.391,180.6416,-33.878,387.2103,3.8006
1987,6,11,1,53,41.703,176.9742,-32.427,385.86,3.8008
2019,9,7,2,22,37.319,179.2057,-33.2822,383.4338,3.5087
2015,8,30,11,17,40.799,181.2732,-32.7814,381.4156,4.8238
1975,3,30,3,28,46.07,176.7,-37.24,378,3.6889
2020,6,22,0,33,4.445,179.4721,-32.5965,376.8281,3.8341
2013,12,23,4,41,18.964,179.9845,-32.0781,373.5021,3.7628
2012,4,5,17,21,51.462,180.2701,-32.0184,367.5063,4.0226
1966,1,6,18,19,4.36,179.96,-35.73,366,3.5135
2019,11,29,8,17,34.792,179.9719,-32.0351,365.4177,3.5889
1973,6,26,9,29,57.64,176.74,-37.05,365,3.5363
2008,3,28,6,39,47.644,179.36,-32.88,365,5.6
1988,2,7,18,15,21.28,181.8177,-32.502,364.2711,4.5484
2009,3,15,23,58,30.815,176.633,-36.9132,364.2,3.6921
2019,9,27,15,21,57.149,179.9185,-33.087,364.0058,3.7238
1973,6,22,22,47,21.37,176.84,-37.13,362,4.6676
2020,1,1,18,9,24.888,180.4894,-32.4158,361.9879,4.1841
1974,6,1,1,59,36.23,176.45,-37.46,361,4.3566
2017,5,23,4,58,40.753,180.1847,-32.6971,360.4799,4.7574
2019,5,15,19,3,30.743,180.1062,-32.186,360.1718,4.2195
1985,3,17,17,37,41.08,176.52,-37.33,360,3.5319
2020,7,22,14,42,4.832,179.9961,-32.2951,359.2296,3.8098
1987,3,22,12,12,35.811,176.7516,-37.1708,358.8378,5.4
2009,3,5,23,46,44.712,176.8897,-36.6923,357.38,4.9
1989,7,7,3,40,41.146,176.623,-37.122,356.6041,4.5808
1987,3,18,13,37,36.738,179.9653,-33.9752,356.1777,4.0642
1963,2,6,1,18,49.47,176.52,-37.35,353,3.6801
1975,5,4,2,47,35.66,177.65,-34.96,353,3.7648
1977,1,22,11,31,44.86,176.89,-36.85,353,4.3287
1965,12,12,22,54,43.29,176.8,-37,352,3.5978
1988,2,19,10,5,4.409,180.0777,-34.3507,351.7205,3.6984
2019,5,24,18,4,16.791,180.3662,-32.1946,351.2227,3.787
2020,11,12,9,54,51.597,179.9224,-32.0464,351.2137,3.5444
1973,12,13,7,8,1.47,176.84,-36.67,351,4.1877
1964,12,19,6,18,7.56,179.75,-34.95,349,3.6325
2012,9,17,23,43,11.349,179.8179,-34.135,348.14,3.6291
1966,1,7,13,0,13.19,176.55,-37.23,348,4.0214
1958,2,13,23,27,22.62,175.89,-37.55,347,3.8984
2009,1,8,17,1,9.148,176.3602,-37.134,346.8,3.523
1966,10,9,12,56,51.93,177.82,-35.62,346,3.9395
2001,2,8,12,9,43.375,176.8093,-36.565,344.76,4.2478
2002,5,5,6,59,33.289,176.8705,-36.9723,344.65,3.6333
1964,4,11,21,22,4.43,178.68,-35.37,343,3.6019
2001,5,29,2,39,27.393,176.2245,-37.4923,342.66,4.3594
2012,3,13,5,24,27.6,179.365,-32.3809,341.6691,3.5946
2020,6,7,21,26,11.409,179.9111,-32.4714,341.1561,4.1229
1978,7,2,8,55,12.99,178.72,-35.16,341,3.6169
2009,11,12,18,54,33.623,176.7995,-36.683,340.38,3.5531
1949,6,27,8,6,7.89,177.09,-37.57,340,4.323
1997,5,25,23,22,30.588,181.21,-32.3052,339.3824,7.1
2020,3,30,0,34,19.256,180.3891,-32.3161,337.7923,3.948
2020,3,23,14,10,51.568,179.8888,-32.9939,337.5518,3.7864
2011,3,28,2,28,41.114,176.9245,-36.6652,336.69,4.1015
1997,3,8,12,53,34.074,176.8231,-37.2703,335.2731,3.5459
1949,1,12,4,4,57.46,177.07,-37.59,335,4.0799
1988,9,21,14,29,14.059,182.2153,-33.5229,334.9831,3.7679
2002,8,17,19,26,57.219,177.4942,-36.2418,333.79,3.8162
2020,6,1,17,28,6.661,181.1419,-32.0759,333.618,3.9457
1957,8,26,8,28,26.69,179.11,-35.56,333,3.5237
2017,5,24,21,21,13.145,180.4727,-35.1395,333,3.8115
2002,10,23,16,14,15.245,176.2918,-37.5313,332.79,4.4179
2008,4,7,15,54,14.058,176.669,-37.2802,332.5345,3.7586
1966,11,17,22,17,8.62,177.28,-36.81,332,4.0126
2014,10,17,0,27,25.374,181.2084,-32.6745,331.9043,4.5779
2006,12,20,13,53,55.425,176.285,-37.5153,331.53,4.0108
1968,1,28,12,32,3.11,179.34,-35.42,331,3.6478
1984,11,26,3,36,55.62,179.07,-35.56,331,3.7151
1963,11,6,6,36,58.79,176.7,-37.16,331,4.5484
1975,8,4,21,57,51.65,176.78,-37.27,330,3.8287
1956,12,19,21,49,15.42,176.88,-36.36,330,4.0408
1987,3,10,18,14,57.684,182.2946,-32.0772,329.3347,4.0363
2001,7,16,23,30,26.879,176.2962,-37.522,329.06,3.8881
1960,10,17,10,4,52.72,178.17,-35.36,329,4.3491
2020,6,4,12,41,54.273,180.3482,-32.2018,328.2363,4.2557
1955,5,14,4,52,11.76,176.79,-37.36,328,4.1985
2001,3,31,21,9,17.049,176.8182,-36.7992,327.57,3.6886
2006,12,26,16,51,41.488,176.2165,-37.4583,327.15,3.5289
2004,11,15,6,18,27.042,176.1555,-37.4927,326.96,4.2161
1999,8,22,1,9,35.58,176.5642,-37.6658,326.8877,4.2267
2015,5,4,8,20,46.329,180.1948,-32.2862,326.0396,3.6209
1967,12,6,15,47,11.4,176.87,-37.14,326,3.6312
1952,1,1,18,28,33.44,176.44,-37.59,326,3.6424
1978,6,17,22,19,22.9,175.69,-38.07,326,4.4583
1951,3,23,21,38,51.2,180.57,-32.07,326,6.2526
1992,4,5,15,49,23.484,176.5463,-37.3364,325.692,3.8756
2004,8,19,19,38,37.127,176.2497,-37.3335,325.31,3.5572
1941,7,3,0,1,34,176.2,-38.2,325,5.2
