year,month,day,hour,min,sec,lon,lat,depth,mag
1951,1,5,0,25,34.92,172.8,-41.88,33,4.986
1951,1,8,11,11,11.79,173.46,-41.31,33,3.329
1951,1,10,19,15,18.27,173.18,-42.79,12,5.241
1951,1,14,6,52,9.37,177,-38.5,33,3.6
1951,1,19,23,30,15.84,173.38,-40.54,33,3.762
1951,1,20,15,31,17.98,174.68,-41.97,33,3.507
1951,2,4,19,7,20.43,173.55,-42.3,33,4.323
1951,2,7,6,3,47.17,175.04,-40.12,12,4.289
1951,2,7,11,0,24.75,174.26,-40.4,12,3.915
1951,2,10,3,27,57.22,177.04,-40.21,33,5.85
1951,2,17,10,6,45.54,176.82,-39.33,12,3.847
1951,2,25,7,17,15.75,177.52,-37.13,33,4.612
1951,2,28,1,6,50.21,176.45,-39.05,12,3.201
1951,2,28,12,8,4.02,173.46,-42.74,12,3.201
1951,3,6,9,28,23.98,177.31,-41.05,33,4.221
1951,3,6,23,21,57.67,179.15,-38.01,33,4.706
1951,3,24,19,43,15.21,172.9,-42.33,33,3.329
1951,3,29,6,36,33.33,177.4,-39.1,33,3
1951,4,5,1,7,44.09,174.25,-41.62,5,3.779
1951,4,7,15,54,12.17,174.83,-41.76,5,3.915
1951,4,17,10,21,59.13,174.19,-41.6,12,3.372
1951,4,18,9,11,0.71,174.33,-41.78,12,3.762
1951,4,20,19,39,59.07,176.8,-39.3,12,3.15
1951,4,21,0,10,18.73,176.23,-39.1,33,3.745
1951,4,21,16,58,1.18,177.41,-38.92,12,4.068
1951,4,24,1,22,27.08,175.89,-39.09,33,4.578
1951,4,27,1,29,50.85,173.15,-42.84,12,4.094
1951,4,30,1,27,55.28,174.15,-41.32,33,3.834
1951,5,2,17,38,49.51,175.75,-38.68,12,3.847
1951,5,3,7,25,56.99,176.1,-39.02,12,4.119
1951,5,6,15,18,8.91,174.74,-40.76,12,3.711
1951,5,7,5,10,58.54,172.9,-42.38,33,3.023
1951,5,8,13,32,49.67,174.11,-40.24,12,3.686
1951,5,9,10,23,37.63,174.74,-40.21,12,3.558
1951,5,9,12,45,44,172.5,-41.29,12,3.507
1951,5,9,15,21,7.87,174.07,-42.72,33,4.221
1951,5,12,16,1,46.06,172.29,-41.34,12,3.439
1951,5,13,0,9,41.64,176.75,-39.11,33,3.677
1951,5,17,3,34,39.63,175.71,-41.77,33,3.745
1951,5,17,15,36,10.45,175.82,-38.24,33,4.357
1951,5,19,3,20,24.35,174.34,-41.01,33,3.966
1951,5,21,15,58,59.99,173.77,-39.18,12,4.068
1951,5,27,12,16,50.93,175.79,-38.68,33,4.153
1951,5,28,3,30,29.11,175.79,-40.74,33,3.745
1951,5,29,3,25,18.43,174.39,-41.78,12,3.711
1951,5,29,4,0,44.67,172.57,-41,12,5.173
1951,6,2,4,34,35.94,175.52,-42.09,12,4.078
1951,6,2,6,36,42.32,172.81,-42.03,33,3.788
1951,6,3,18,19,46.02,173.2,-41.66,33,3.788
1951,6,7,5,54,30.42,173.72,-41.11,33,3.405
1951,6,11,14,25,58.91,172.64,-41.79,33,3.431
1951,6,12,12,14,33.47,176.77,-40.07,33,4.099
1951,6,20,23,45,12.98,173.28,-42.95,12,3.474
1951,6,22,11,11,37.02,174.32,-40.35,33,3.762
1951,6,24,4,41,50.68,176.2,-39.46,33,6.149
1951,7,6,9,57,10.69,173.23,-42.85,12,3.405
1951,7,6,20,52,27.48,170,-46,33,4.5
1951,7,7,10,15,23.85,167.26,-44.89,33,5.409
1951,7,8,9,27,13.61,173.92,-40.59,33,3.048
1951,7,8,17,39,48.04,177.4,-38.76,33,4.051
1951,7,9,7,47,30.21,175.07,-40.61,12,3.541
1951,7,11,22,20,10.89,173.91,-42.01,33,3.779
1951,7,15,7,47,15.8,172.97,-42.48,33,3.864
1951,7,28,13,7,52.28,177.59,-37.79,33,4.547
1951,7,28,15,14,50.31,176.64,-41.22,12,3.992
1951,7,31,13,19,27.38,174.19,-40.38,33,3.558
1951,8,2,12,43,7.5,172.49,-41.26,12,3.474
1951,8,2,15,52,55.1,167.69,-44.96,33,5.275
1951,8,19,16,50,3.59,175.47,-39.45,33,3.609
1951,8,20,19,38,19.13,171.86,-41.35,33,4.323
1951,8,21,8,19,50.97,175.49,-40.73,33,3.558
1951,8,21,10,29,32.23,175.86,-39.13,33,3.643
1951,8,25,6,43,32.02,174.79,-40.81,33,3.762
1951,8,30,4,56,56.77,174.06,-40.37,33,3.252
1951,9,4,12,34,5.6,174.14,-40.47,33,3.558
1951,9,20,16,3,37.6,177.04,-36.85,33,4.578
1951,9,22,8,0,32.95,172.19,-41.09,33,3.558
1951,9,22,15,7,59.82,175.11,-40.19,33,3.711
1951,9,24,9,57,35.61,175.11,-40.04,12,3.898
1951,9,26,6,20,38.44,175.11,-38.53,33,4.085
1951,9,30,13,40,0.59,177.7,-37.86,12,4.459
1951,10,2,4,11,18.21,172.85,-42.01,33,4.425
1951,10,3,17,38,47.55,172.69,-40.99,12,5.275
1951,10,6,10,44,5.32,174.83,-40.14,12,4.17
1951,10,7,13,1,18.4,176.1,-38.73,33,3.915
1951,10,15,13,55,37.56,178.02,-38.06,12,4.099
1951,10,21,7,59,11.6,174.08,-41.84,33,4.204
1951,10,22,17,12,47.31,175.97,-38.95,33,3.507
1951,10,28,11,4,3.21,174.35,-41.14,12,3.772
